linea;unidad;lat;lon;hora
165;92;-25.441841666666665;-57.36846833333333;22:09:36
165;118;-25.441546666666667;-57.369995;22:06:54
165;120;-25.441755;-57.370108333333334;22:18:32
165;155;-25.374253333333332;-57.407466666666664;22:38:20
165;77;-25.441693333333333;-57.37009666666667;22:06:22
165;72;-25.351708333333335;-57.44607;22:49:18
165;81;-25.441748333333333;-57.3679;22:14:34
165;71;-25.344263333333334;-57.50557166666667;22:49:14
165;70;-25.304351666666665;-57.60948166666667;22:49:10
41;5;-25.3658;-57.613863333333335;22:45:56
41;31;-25.365821666666665;-57.613868333333336;22:25:32
41;3;-25.366088333333334;-57.613463333333335;22:26:48
41;4;-25.29264166666667;-57.60344666666667;22:49:00
203;84;-25.33248;-57.540255;22:49:10
203;83;-25.29762;-57.628676666666664;22:49:52
203;66;-25.311911666666667;-57.377875;22:16:10
203;80;-25.313105;-57.379325;22:37:26
203;60;-25.311401666666665;-57.37788;22:11:34
203;67;-25.312968333333334;-57.379615;22:09:50
203;77;-25.311933333333332;-57.37792833333334;22:25:24
203;62;-25.284611666666667;-57.649741666666664;22:44:54
203;61;-25.312536666666666;-57.379805;22:00:42
203;65;-25.313131666666667;-57.37937;22:38:32
203;68;-25.312731666666668;-57.379855;22:46:28
203;43;-25.311631666666667;-57.37795166666667;22:49:18
1504;49;-25.440733333333334;-57.537375;22:03:40
1504;96;-25.375915;-57.58191166666667;22:48:56
40;113;-25.239858333333334;-57.532333333333334;22:24:38
40;103;-25.240456666666667;-57.531925;22:11:32
40;104;-25.240098333333332;-57.53207;22:07:56
40;126;-25.240563333333334;-57.53187833333333;22:26:02
40;105;-25.275605;-57.576728333333335;22:49:26
40;114;-25.250601666666668;-57.53756166666667;22:49:28
40;138;-25.214198333333332;-57.55246666666667;22:49:20
454;35;-25.42056;-57.45471833333333;22:49:04
454;38;-25.346255;-57.63435666666667;22:49:22
454;40;-25.452835;-57.3689;22:28:46
454;42;-25.219075;-57.47604666666667;22:49:16
454;41;-25.377383333333334;-57.476065;22:50:02
454;45;-25.500626666666665;-57.375701666666664;22:49:34
454;14;-25.512368333333335;-57.35657833333333;22:49:16
454;44;-25.451216666666667;-57.369436666666665;22:31:14
454;5;-25.33485;-57.534461666666665;22:49:32
454;6;-25.452746666666666;-57.36973833333333;22:40:30
454;17;-25.333941666666668;-57.61387166666667;22:31:30
454;26;-25.319978333333335;-57.561748333333334;22:49:12
454;30;-25.452261666666665;-57.369886666666666;22:45:54
454;39;-25.457318333333333;-57.367205;22:49:38
454;8;-25.428675;-57.45065666666667;22:50:02
454;23;-25.452725;-57.36983333333333;22:06:46
454;33;-25.384035;-57.47290666666667;22:49:40
454;24;-25.45196;-57.36855666666666;22:16:00
454;16;-25.467351666666666;-57.36493166666666;22:48:46
454;10;-25.451796666666667;-57.368471666666665;22:06:56
96;92;-25.361983333333335;-57.46115833333333;22:49:42
96;4;-25.473366666666667;-57.41171166666667;22:49:04
96;22;-25.370615;-57.40567;22:49:38
96;130;-25.347745;-57.51287833333333;22:49:22
96;1613;-25.356035;-57.44049833333333;22:49:04
96;56;-25.36356;-57.41144166666667;22:48:56
96;31;-25.37605;-57.40818;22:48:56
96;52;-25.345158333333334;-57.481928333333336;22:49:42
96;28;-25.342485;-57.494146666666666;22:49:24
96;54;-25.475941666666667;-57.41268;22:24:52
96;55;-25.29574;-57.666758333333334;22:37:00
1501;115;-25.344603333333332;-57.58790166666667;22:49:06
31;16;-25.328038333333332;-57.634708333333336;22:39:06
31;6;-25.327893333333332;-57.63469666666667;22:00:34
31;22;-25.31429;-57.588675;22:49:08
31;10;-25.299623333333333;-57.62685;22:49:42
31;60;-25.328053333333333;-57.6346;22:12:08
31;51;-25.284415;-57.56771;22:49:46
31;31;-25.294261666666667;-57.57959666666667;22:49:46
31;34;-25.327963333333333;-57.63477666666667;22:48:12
128;236;-25.364823333333334;-57.425125;22:49:56
128;215;-25.395806666666665;-57.27862833333333;22:39:06
128;234;-25.329355;-57.57212333333333;22:49:32
128;221;-25.34169;-57.49744;22:48:48
128;240;-25.38604;-57.367713333333334;22:49:02
128;220;-25.39568166666667;-57.278681666666664;22:34:14
128;228;-25.395611666666667;-57.279735;22:15:10
128;225;-25.377943333333334;-57.398745;22:49:16
128;232;-25.398723333333333;-57.280948333333335;22:49:52
128;235;-25.395583333333335;-57.27992166666667;22:46:18
128;222;-25.344708333333333;-57.506701666666665;22:49:02
128;229;-25.395568333333333;-57.279605;22:45:52
128;214;-25.395513333333334;-57.27948333333333;22:40:36
128;206;-25.395571666666665;-57.27991;22:26:26
128;207;-25.35434;-57.633601666666664;22:49:10
128;203;-25.343323333333334;-57.62009333333334;22:49:42
128;210;-25.396016666666668;-57.27964;22:26:06
128;209;-25.395506666666666;-57.27962;22:37:12
128;205;-25.395796666666666;-57.27937166666667;22:05:48
128;227;-25.306876666666668;-57.551096666666666;22:27:34
128;219;-25.395556666666668;-57.27995166666667;22:10:16
47;4728;-25.495;-57.46886;22:34:16
47;4714;-25.391925;-57.54619833333334;22:49:12
47;4736;-25.27099;-57.58411666666667;22:48:34
47;74;-25.377961666666668;-57.55493;22:49:40
47;4716;-25.494116666666667;-57.469226666666664;22:07:38
47;7;-25.494968333333333;-57.468845;22:04:18
47;6;-25.494938333333334;-57.468795;22:13:38
47;4744;-25.491471666666666;-57.455958333333335;22:49:24
47;11;-25.494305;-57.469656666666666;22:10:22
47;4750;-25.495075;-57.468851666666666;22:39:18
2;1101;-25.404065;-57.56882;22:49:20
187;21;-25.613043333333334;-57.46647166666666;22:16:34
